E1104,Personal Income/Average Earnings
GBIRTC,Family Planning
GFAMIN,Famine
GFAS,Fashion
GDESG,Fashion Design
GFASW,Fashion Shows/Events
EBEIGE,Federal Reserve Survey Data
MFERTZ,Fertilizers Markets
GFESTI,Festivals
GHOCK,Field Hockey
GFNPL,Financial Advisors
GFINC,Financial Crime
C15,Financial Performance
C173,Financing Agreements
GFIRE,Fire/Rescue Services
NFIAC,Fixed Income Asset Class News
GFXIIN,Fixed Income Investing
GFLOOD,Floods/Tidal Waves
GFALL,Food Allergies
GFDSEC,Food Security
GFOD,Food/Drink
GFRCL,Forced Labor
CFORE,Foreclosures
EFDI,Foreign Direct Investment
NFXMT,Foreign Exchange Market Talk
M132,Foreign Exchange Markets
NFXACB,Forex Asset Class Basic News
NFXACP,Forex Asset Class Premium News
GFOST,Fostering/Adoption
C335,Franchises
GFRAUD,Fraud
MFRUIT,Fruit Markets
GFUEL,Fuel Efficiency
M16,Fund Markets
GCAGM,Games
GGANGS,Gangs
GLIVC,Gastrointestinal Cancer
GWORI,Gender Equality
GCELL,Gene/Cell Therapy
GJOB,General Labor Issues
GCOHO,Generational Cohorts
CGENPR,Generic Brands
GHEMO,Genetic Disorders
GGEO,Geography/Geology
GEARTH,Geological Disasters
GGHEA,Geriatric Health
GGLOBE,Global/World Issues
GGLBLZ,Globalization
M1421,Gold Markets
GGOLF,Golf
C341,Government Aid/Grants
GVBOD,Government Bodies
E212,Government Borrowing
E211,Government Budget/Taxation
C332,Government Contracts/Orders
MGVDBT,Government Debt/Bond Markets
E21,Government Finance
MGRAIN,Grain Markets
MGROIL,Grains/Edible Oils Markets
GGREY,Greyhound Racing
CMISCO,Gross Misconduct/Malpractice
GGUNC,Gun Control
GGYMN,Gymnastics
GSWINE,H1N1 Flu/Influenza
GHAND,Handball
GHARA,Harassment
GHATE,Hate Crime
NLIST,Headline Listings
NHOC,Headline-Only Content
CHQR,Headquarters Opening/Relocation
GHEA,Health
GMFRA,Health Care Fraud
GHPLAN,Health Planning
GVHHS,Health/Human Services Department
NHRD,Heard on the Street
MHTGOL,Heating Oil Markets
GHEPAT,Hepatitis
GHEROI,Heroin/Illegal Opioid Use/Abuse
GEDPLA,Higher Education Costs
CJUNK,High-yield Corporate Bonds
GHIJK,Hijacking/Piracy
GHIST,History
MHOGS,Hogs/Pigs Markets
GGARD,Home Gardening/Landscaping
GHIMP,Home Improvements
E1121,Home Sales/Housing Affordability Figures
GHOMEL,Homelessness
GHONL,Honours List/Decorations
GHORSC,Horoscopes
GHORS,Horse Racing/Harness Racing
GHOUSE,Housing Issues
EMHPR,Housing Prices Figures
EHSAL,Housing Sales Figures
E1120,Housing Starts
GVHUD,Housing/Urban Development Department
GIMM,Human Migration
GHUM,Human Rights/Civil Liberties
GHUTRK,Human Trafficking
GHUNT,Hunting
GHRRC,Hurricanes/Typhoons
GHIGH,Hypertension/High Blood Pressure
GICEH,Ice Hockey
GIDENT,Identity Theft
GIDEOL,Ideology
GILLGB,Illegal Gambling
GILLIM,Illegal Immigration
GIWILD,Illegal Wildlife Trade
NIMAGE,Images
GIMMU,Immunizations
EITAX,Income Tax
GINDA,Independent Advisory Bodies
GINDIE,Independent Films
E2112,Indirect Taxation
GIRA,Individual Retirement Accounts
E1111,Industrial Production Figures
CINPRP,Industrial Property Rights
CINESP,Industrial/Corporate Espionage
CIPROF,Industry Profile
GIHEA,Infant/Child/Teenage Health
GSPOX,Infectious Diseases
GCHLRA,Infectious Foodborne/Waterborne Diseases
E1103,Inflation Figures/Price Indices
C25,Information Technology
C1711,Initial Public Offerings
CINSDL,Insider Dealing
CDIRDL,Insider Stock Sales/Purchases
GIFRA,Insurance Fraud
CGYMTR,Intellectual Property Rights
EFFUND,Interbank Rate
E1202,Interest Rates
GVINR,Interior Department
CCTRL,Internal Control
CIEXP,International Expansion (Facilities)
GDIP,International Relations
GESANC,International Sanctions
NITV,Interviews
NIEX,Interviews with Corporate Executives
GIIDEA,Investment Ideas/Investor Education
MIRONO,Iron Ore Markets
GISLAM,Islam
GPELO,Jai Alai (Pelota)
MJTFUL,Jet Fuel Markets
GJSEAR,Job Search
EJOBCL,Jobless Claims
C184,Joint Ventures/Consortia
GVSUP,Judicial Branch
GJUDO,Judo
GJURI,Juries
GVJUS,Justice Department
GKARA,Karate
GKDNAP,Kidnapping/Abduction
CKNOWM,Knowledge/Information Management
GVLBR,Labor Department
CLABDI,Labor Disputes
C42,Labor/Personnel
GLACR,Lacrosse
GLAND,Land Use
GHOME,Law Enforcement
CREDUN,Lay-offs/Redundancies
MLEAD,Lead Markets
GVCNG,Legislative Branch
NLET,Letters
CLBO,Leveraged Buyouts
CLEVER,Leveraged Loans
GLGBT,LGBT Rights
C334,Licensing Agreements
MLPG,Liquid Petroleum Gas Markets
CLIQUI,Liquidation
GLIT,Literacy/Illiteracy
MLVSTK,Livestock/Meat Markets
GLIFE,Living/Lifestyle
GELDCR,Long-term Care Costs
GVLWH,Lower House
MLUMB,Lumber Markets
GLUX,Luxury Homes/Estates
GLUXTR,Luxury Travel
GMALA,Malaria
GCVIR,Malware
C41,Management
CMBO,Management Buyouts
C411,Management Moves
GMARA,Marathon
GMARIJ,Marijuana Use/Abuse
CMARKR,Market Research
C313,Market Share
C31,Marketing
GWEDD,Marriage/Divorce
MGRFDS,Meals/Feeds Markets
GMED,Medical Conditions
GCRESE,Medical Research
GTREA,Medical Treatments/Procedures
GMAM,Medication Abuse/Misuse
GMENIG,Meningitis
GMHEA,Men's Health
GMENT,Mental Disorders
GPSYCH,Mental Health Therapies
CMERG,Mergers
M142,Metals Markets
GMETHA,Methamphetamine Use/Abuse
CMEZZ,Mezzanine Financing
CMMM,Middle/Lower Management
GVIO,Military Action
GCHESS,Mind Sports
GMINI,Minimum/Living Wage
MMINMT,Minor Metals Markets
CMINOR,Minority-owned Businesses
GMODE,Modern Pentathlon
GMDART,Modernist/Postmodernist Art
E12,Monetary Policy
GDTCSH,Money Laundering
M131,Money Markets
E1102,Money Supply Figures
NMTALK,Money Talks
M13,Money/Currency Markets
GDEPR,Mood Disorders
E1122,Mortgage Application/Refinancing Figures
GMOFRA,Mortgage Fraud
GMORT,Mortgage Planning/Trends
GREFI,Mortgage Refinancing
MMOTFL,Motor Fuel Markets
GMORA,Motor Racing
GMOTO,Motor Sports
GMOCY,Motorcycling
GPARK,Movement Disorders
GMOVIE,Movies
GMLTPS,Multiple Sclerosis
MMUNI,Municipal Debt/Bond Markets
GMURD,Murder/Manslaughter
GMUSIC,Music
GMUSLS,Musicals
GNANO,Nanotechnology
MNAPTH,Naphtha Markets
GNASC,Nascar
MNTDBT,National Government Debt/Bond Markets
GVOTE1,National/Presidential Elections
GCNS,National/Public Security
GNTDIS,Natural Disasters/Catastrophes
GENV,Natural Environment
MNATGS,Natural Gas Markets
CNATRD,Natural Reserves/Resources Discovery
GNRSCA,Natural Resource Scarcity
GNAVY,Navy
GNET,Netball
CNETN,Network Neutrality
GADHD,Neurodevelopmental Disorders
CNCC,New Companies Creation
CAPPRO,New Product Approvals
CTRIAL,New Product/Service Testing
C22,New Products/Services
NNAM,News Agency Materials
NSUM,News Digests
MNICKL,Nickel Markets
GNBFIR,Nonbuilding Structures Fires/Collapses
MNONFR,Non-ferrous Metals Markets
C333,Non-Government Contracts/Orders
GNUCA,Nuclear Accidents
GNUCLW,Nuclear Weapons Programs
GNUTR,Nutrition
MNUTS,Nuts Markets
GOBES,Obesity
NOBT,Obituaries
GOHEA,Occupational Health
GOCEA,Oceanography
MOILSD,Oilseed Markets
GOLY,Olympics
GOPERA,Opera
MORANJ,Orange Juice Markets
GORGA,Organ/Tissue Transplants
GORIE,Orienteering
GOUT,Outbreaks/Epidemics
C21,Output/Production
COUTSC,Outsourcing
C18,Ownership Changes
NPAG,Page-One Stories
GPALEO,Paleontology
GPARA,Paralympics/Special Olympics/Deaflympics
GPAREN,Parenting/Parenthood
CPARTN,Partnerships/Collaborations
C133,Patents
EPAYTX,Payroll Taxes
NPEO,People Profiles
NPAN,Personal Announcements
GPBNKR,Personal Bankruptcy
GPCRED,Personal Credit Score
GPERSF,Personal Finance
GABOR,Abortion
NABST,Abstracts
GMMDIS,Accidents/Man-made Disasters
CACQU,Acquisitions/Mergers
C181,Acquisitions/Mergers/Shareholdings
GADR,Adverse Drug Reactions
C32,Advertising
CADNET,Advertising Networks
CADSP,Advertising Spending
NADVTR,Advertorials/Sponsored Content
NADC,Advice
NADV,Advisories
GAERO,Aero/Air Sports
GAFFM,Affirmative Action
GAFHO,Affordable/Social Housing
GAGED,Age Discrimination
M141,Agricultural Commodity Markets
E1110,Agricultural Production Figures
GVAGD,Agriculture Department
GHIV,AIDS/HIV
GAIRF,Air Force
GAIRP,Air Pollution
GALCM,Alcoholism
NAMT,All Market Talk
GALL,Allergies
GALPS,Alpine Skiing
GALTM,Alternative Medicine/Treatments
MALUM,Aluminum Markets
GALZ,Alzheimer's Disease
GAMER,American Football
NANL,Analyses
C1521,Analysts' Comments/Recommendations
GANGL,Angling
GAHEA,Animal Health
GAVFLU,Animal Influenza
GARIG,Animal Rights
GAINF,Animal/Insect Infestations
GANIMF,Animated Films
C1511,Annual/Shareholders Meetings
GANTHX,Anthrax
GANTPY,Anthropology
C34,Anti-Competition Issues
GPHOB,Anxiety Disorders
GAQUA,Aquatics/Water Sports
GARLGY,Archaeology
GARCH,Archery
GARCHI,Architecture
GDEF,Armed Forces
GCOUP,Armed Rebellion
GARMY,Army
GARSON,Arson
GART,Art
GARTAU,Art Collecting/Sales
GARTT,Arthritis/Rheumatic Conditions
GAIML,Artificial Intelligence/Machine Learning
NARTPR,Artist Profiles
GENT,Arts/Entertainment
GASSA,Assault
GASSET,Asset Allocation
CMABS,Asset Backed Securities
GASTMA,Asthma
GASTRO,Astronomy
GATHL,Athletics
NAUDVL,Audio-visual Links
GOZFTL,Australian Rules Football
GAUTI,Autism Spectrum Disorders
CAUTM,Automation
GAIRA,Aviation Accidents
GAWARD,Awards
GBADM,Badminton
EBLPY,Balance of Payments/Current Account
EBKLND,Bank Loan Data
C16,Bankruptcy
CDIP,Bankruptcy Financing
CBRO,Bankruptcy Reorganization
CBRRO,Bankruptcy-Related Rights Offering
GBASE,Baseball
GBASK,Basketball
MBEAN,Beans Markets
MCATTL,Beef/Dairy Cattle Markets
GADDIC,Behavioral Addictions/Obsessions
CBESTP,Best Practice
NBIGP,Big Picture
GBILL,Billiards/Snooker/Pool
GBIOL,Biology
GBIOT,Biotechnology
GBLAC,Blackouts
GBLIZZ,Blizzards
GBLOG,Blogging
NBLOG,Blogs
GLEUK,Blood Cancer
GBLOOD,Blood Donations/Transfusions
CBOARD,Board of Directors
GBOLLY,Bollywood/Indian Films
GBOOK,Books
GBOWL,Bowls/Petanque
GBOXI,Boxing
CBRAND,Branding
GBREAC,Breast Cancer
GBRIB,Bribery
E1108,Budget Figures
GEXPLO,Building Fires/Explosions/Collapses
EBPMT,Building Permit Figures
MBNKER,Bunker Fuel Markets
GTHEFT,Burglary/Theft
E1113,Business Inventory Figures
CDINN,Business/Disruptive Innovation
E1117,Business/Economic Sentiment Data
CB2E,Business-to-Employee (B2E)
CBUYL,Buy Local Campaigns/Cash Mobs
GSELL,Buying/Selling a Home
NCAL,Calendar of Events
GCANCR,Cancer
E1112,Capacity Utilization Figures
C24,Capacity/Facilities
CCAPEX,Capital Expenditure
ECGTAX,Capital Gains Tax
E511,Capital Movements/Invisible Trade
NCAP,Captions
E1123,Car Registration/Sales Figures
GCARD,Cardiovascular Conditions
GCRPLN,Career Planning/Management
GCAR,Cars
GCELE,Celebrities
GCENS,Censorship
E1201,Central Bank Intervention
GCHA,Charities/Philanthropy
GCFRA,Check Fraud
GCHEM,Chemistry
GCHEMO,Chemotherapy/Radiotherapy/Immunotherapy
GCHLAB,Child Abuse
GCHLBR,Child Labor
NCHR,Chronology
GCIVDS,Civil Unrest
CCLASS,Class Action Lawsuits
GCLIMT,Climate Change
GCLIMB,Climbing
MCOAL,Coal Markets
GCOCA,Cocaine Use/Abuse
MCOCOA,Cocoa Markets
MCOFF,Coffee Markets
GCOLIV,Collectible Investments
GCLFO,College Sports
NCOLU,Columns
GCOMBT,Combat Sports
NEDC,Commentaries/Opinions
GVCOM,Commerce Department
NCMAC,Commodities Asset Class News
M14,Commodity Markets
MCAT,Commodity/Financial Market News
GCIV,Community/Civic Engagement
CCPINT,Competitive Intelligence
E1125,Composite Economic Indicator Indices
GCGAMB,Compulsive Gambling
GCSCI,Computer Science
GCONCE,Concerts
C315,Conferences/Exhibitions
ECFIG,Construction Figures/Output
GCON,Consumer Affairs
GDEALS,Consumer Deals
ECPIN,Consumer Price Index
E1105,Consumer Sentiment Figures
E1106,Consumer Spending Figures
GSPEND,Consumer Spending/Budgeting
GCOART,Contemporary Art
NCAT,Content Types
NCONT,Contest/Lottery Announcements
GCNTSU,Continuing Education
CCNTTD,Contract Tenders
C33,Contracts/Orders
MCOPP,Copper Markets
C134,Copyright
MCORN,Corn Markets
CACTIO,Corporate Actions
CINTAU,Corporate Audit
CCAWRD,Corporate Awards
E1124,Corporate Bankruptcy Figures
C02,Corporate Changes
C174,Corporate Credit Ratings
C12,Corporate Crime/Legal Action
C172,Corporate Debt Instruments
MCPDBT,Corporate Debt/Bond Markets
NCDIG,Corporate Digests
CDUED,Corporate Due Diligence
CCFD,Corporate Financial Difficulty
C17,Corporate Funding
CCPGVN,Corporate Governance
CHEDGE,Corporate Hedging
CCNAME,Corporate Name Changes
CEFFIC,Corporate Organizational Restructuring
CCSR,Corporate Social Responsibility
CCSPON,Corporate Sponsorship
C11,Corporate Strategy/Planning
CCPTAX,Corporate Taxation
CCAT,Corporate/Industrial News
C312,Corporate/Industry Exports
C311,Corporate/Industry Imports
GCORRP,Corruption
MCOTT,Cotton/Silk Markets
GCOUNT,Counterfeit/Forgery
NCOPRO,Country Profiles
GCCFRA,Credit Card Fraud
GCRIC,Cricket
GCRIM,Crime/Legal Action
GORGNZ,Criminal Enterprises
GCCSKI,Cross-country Skiing
CCROW,Crowdfunding
MCROIL,Crude Oil Markets
MCRNTG,Crude Oil/Natural Gas Product Markets
GCRUI,Cruises
MCRYP,Cryptocurrency Markets
GCLTRE,Cultural Heritage
MCUOP,Currency Options
CCEXPI,Customer Experience
CCRM,Customer Relationship Management
CCRLY,Customer Retention/Loyalty
GHACK,Cybercrime/Hacking
GCYCL,Cycling
MDAIR,Dairy Markets
GDANCE,Dance Sport
GDABAL,Dance/Ballet
GDART,Darts
CDATAM,Data Mining
GSECBR,Data Security Breaches
CDATAW,Data Warehousing
GDEATH,Death Penalty/Capital Punishment
M12,Debt/Bond Markets
GLIBEL,Defamation
C331,Defense Contracts
GVDEF,Defense Department
GFORST,Deforestation
GDEME,Dementia
CSPIN,Demergers
GGROUP,Demographic Health
GDEMOG,Demographics
GTOOTH,Dental Conditions
GDENT,Dentistry
GVDHS,Department of Homeland/National Security
CDEREG,Deregulation
M15,Derivative Securities
GDEV,Development/Humanitarian Aid
GDIAS,Diabetes
GDIAL,Dialysis
GDGDV,Digital Divide
GDPIR,Digital Piracy
CDBUS,Digitalization
E2111,Direct Taxation
GDISAB,Disability Discrimination
GDIS,Disasters/Accidents
GDCRI,Discrimination
CFDST,Distressed Debt
CDAGR,Distribution Agreements
CDIV,Divestments
C1512,Dividends
NPFIDN,DJ Dominant News - Fixed Income
NPDA,DJ Exclusive Analysis - All
NPCDA,DJ Exclusive Analysis - Commodities
NPENDA,DJ Exclusive Analysis - Energy
NPQDA,DJ Exclusive Analysis - Equities
NPFIDA,DJ Exclusive Analysis - Fixed Income
NPFXDA,DJ Exclusive Analysis - FX
NPDN,DJ Exclusive News - All
NPCDN,DJ Exclusive News - Commodities
NPENDN,DJ Exclusive News - Energy
NPQAN,DJ Exclusive News - Equities
NPFXDN,DJ Exclusive News - FX
GDOGA,Dog Attacks
GPOL,Domestic Politics
GDOMV,Domestic Violence
CDOM,Domestic/Foreign Markets
GDOP,Doping in Sports
NDJMT,Dow Jones Market Talk
GDROUG,Drought
GDRUG,Drug Trafficking/Dealing
GABUS,Drug/Substance Use/Abuse
GECOL,E. Coli Infections
GHEAR,Ear/Hearing Conditions
C151,Earnings
C152,Earnings Projections
C1514,Earnings Surprises
GEAT,Eating Disorders
E1101,Economic Growth/Recession
ECAT,Economic News
E11,Economic Performance/Indicators
NPRED,Economic Predictions/Forecasts
EECZON,Economic Zones
MEDOIL,Edible Oils Markets
NEDI,Editorials
GEDU,Education
GVEDN,Education Department
GEGOV,e-government
GELEAR,E-learning
GVOTE,Elections
MELEC,Electricity Markets
GELSPO,Electronic Sports
GEMBLZ,Embezzlement
CEMDO,Eminent Domain
MEMISS,Emission Markets
CEMPBN,Employee Benefits
CEMRET,Employee Retention
CEMPTD,Employee Training/Development
E1115,Employment Cost/Productivity Figures
E1116,Employment/Unemployment Figures
NENAC,Energy Asset Class News
GVERG,Energy Department
GENGY,Energy Efficient Home Improvements
M143,Energy Markets
GENGSC,Energy Security
CENTRP,Entrepreneurs/Startups
GVENV,Environment Department
GENVCR,Environmental Crime
